title,rating,num_rating,num_oscar,adjusted_ranking
The Shawshank Redemption,9.235731032978329,2711202,7,10.235731032978329
The Godfather,9.155902704771503,1882916,11,9.855902704771502
The Dark Knight,8.99139894415067,2684164,8,9.99139894415067
The Godfather Part II,8.983812491212923,1285408,11,9.083812491212923
De 12 gezworenen,8.952917815706543,800991,3,7.552917815706543
Schindler's List,8.93983468697958,1369684,12,9.13983468697958
The Lord of the Rings: The Return of the King,8.932058777999117,1865880,11,9.632058777999116
Pulp Fiction,8.84652628636494,2081587,7,9.24652628636494
The Lord of the Rings: The Fellowship of the Ring,8.810797069060264,1895424,13,9.510797069060263
"The Good, the Bad and the Ugly",8.789176657721127,769419,0,6.889176657721126
Forrest Gump,8.766795348583372,2106683,13,9.666795348583372
Fight Club,8.747916257367613,2155089,1,8.547916257367614
The Lord of the Rings: The Two Towers,8.736379542247493,1684766,6,8.736379542247493
Inception,8.732673300787816,2381990,8,9.432673300787815
Star Wars: Episode V - The Empire Strikes Back,8.698563153853202,1305808,4,7.798563153853202
The Matrix,8.669150979436877,1934029,4,8.469150979436876
Goodfellas,8.653067393454725,1175918,6,8.153067393454725
One Flew Over the Cuckoo's Nest,8.638158025753805,1017397,9,8.038158025753805
Seven,8.604577039883452,1674099,1,7.904577039883452
Shichinin no samurai,8.597770281031604,349513,2,6.597770281031603
